box,trade_id,symbol,strategy,setup_type,setup_grade,setup_score,direction,option_side,is_butterfly,strike,lower_strike,center_strike,upper_strike,expiry,contracts,entry_premium,exit_premium,current_premium,net_debit,max_profit,total_cost,max_loss,stop_premium,trail_activation,target_premium,underlying_entry,underlying_stop,underlying_target,orb_range_high,orb_range_low,short_strike,long_strike,credit_received,spread_width,is_condor_leg,condor_leg_num,is_broken_wing,short_symbol,long_symbol,pnl_usd,pnl_pct,regime,vix_at_entry,is_fed_day,status,exit_reason,order_id,lower_symbol,center_symbol,upper_symbol,option_symbol,paper_trade,entry_time,exit_time,notes,is_short_position
AAPL,3238b3b5-623e-4f9d-8bdb-21cb51d23f9e,AAPL,ORBStrategy,ORB Short,A,0.855,short,put,0,305.0,,,,2026-07-08,65,0.24,0.315,0.315,,,1560.0,1560.0,0.18,0.36,0.48,307.8999938964844,309.0400085449219,305.74,312.0,308.87,0.0,0.0,0.0,0.0,0,0,0,,,487.5000000000001,0.31250000000000006,BREAKOUT_VOLATILE,17.389999389648438,0,closed,orb_trail_stop pnl=31.3%,PAPER-1BE362AF,,,,,1,2026-07-08T13:44:05.970170+00:00,2026-07-08T13:47:35.928232+00:00,,0
AAPL,a4383f37-6371-4cbe-bb58-8124648d7cab,AAPL,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.536,long,call,0,312.5,,,,2026-07-08,49,0.21000000000000002,0.215,0.215,,,1029.0,1029.0,0.15750000000000003,0.31500000000000006,0.42000000000000004,310.0400085449219,307.51218731689454,313.37001037597656,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,24.499999999999886,0.023809523809523697,SWEEP_REVERSAL,17.389999389648438,0,closed,theta_bleed pnl=2.4%,PAPER-B2B4A2C4,,,,,1,2026-07-08T14:11:21.037945+00:00,2026-07-08T14:14:35.998613+00:00,,0
AAPL,8184448f-8b13-4f32-ae32-14d952d6111a,AAPL,ORBStrategy,ORB Long,B,0.682,long,call,0,315.0,,,,2026-07-10,5,1.85,1.85,1.85,,,925.0,925.0,1.3875000000000002,2.7750000000000004,3.7,311.0799865722656,310.7190856933594,314.80999755859375,311.0,308.16,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,BREAKOUT_VOLATILE,16.760000228881836,0,closed,orb_range_violation: 1m close 310.37 back inside range (below 311.00),PAPER-432E0BAD,,,,,1,2026-07-09T13:36:13.907622+00:00,2026-07-09T13:41:13.985577+00:00, | Target adjusted to 314.81 (named level PDH just beyond TP),0
AMD,70147456-a752-4d12-8376-a769aa538b85,AMD,SweepReversal,Sweep Reversal Short (high sweep → put),B,0.663,short,put,0,515.0,,,,2026-07-10,2,4.925,,6.3,,,985.0,985.0,5.04,7.387499999999999,9.85,566.8200073242188,571.5709999999999,560.5500183105469,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,SWEEP_REVERSAL,16.239999771118164,0,closed,manual_orphan_clear,PAPER-FE9B75BA,,,,,1,2026-07-06T14:27:55.304468+00:00,,,0
AMD,afa49d3c-c764-43e8-934c-9b15cb44dfa1,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.564,long,call,0,552.5,,,,2026-07-10,2,4.0,4.05,4.05,,,800.0,800.0,3.0,6.0,8.0,506.5089111328125,502.63687463378903,511.562255859375,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,9.999999999999964,0.012499999999999956,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=1.2%,PAPER-935CB96F,,,,,1,2026-07-07T14:48:12.845338+00:00,2026-07-07T14:48:26.663363+00:00,,0
AMD,d74a1027-607d-49cf-bc72-ac9cda986498,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.659,long,call,0,550.0,,,,2026-07-10,2,4.15,4.225,4.225,,,830.0000000000001,830.0000000000001,3.1125000000000003,6.2250000000000005,8.3,507.5,502.60687536621094,514.0850219726562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,14.999999999999858,0.018072289156626332,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=1.8%,PAPER-89797027,,,,,1,2026-07-07T14:53:13.695574+00:00,2026-07-07T14:54:26.591747+00:00,,0
AMD,09c6c2bd-b809-40f9-9c1c-1a571b73c472,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),A,0.824,long,call,0,570.0,,,,2026-07-10,9,1.655,1.67,1.67,,,1489.5,1489.5,1.24125,2.4825,3.31,508.54998779296875,502.60687536621094,516.7099914550781,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,13.499999999999911,0.00906344410876127,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=0.9%,PAPER-EF9CC028,,,,,1,2026-07-07T14:58:11.608357+00:00,2026-07-07T15:10:41.782462+00:00,,0
AMD,25801385-3149-435c-b185-0626a790e736,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.71,long,call,0,560.0,,,,2026-07-10,4,2.51,2.5149999999999997,2.5149999999999997,,,1003.9999999999999,1003.9999999999999,1.8824999999999998,3.7649999999999997,5.02,508.95001220703125,502.60687536621094,517.7100524902344,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1.9999999999999574,0.001992031872509918,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=0.2%,PAPER-576AD908,,,,,1,2026-07-07T15:11:11.645416+00:00,2026-07-07T15:11:56.608973+00:00,,0
AMD,2ca73c53-7aa2-4fd4-a166-0a8be8b57622,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.727,long,call,0,560.0,,,,2026-07-10,4,2.585,2.625,2.625,,,1034.0,1034.0,1.93875,3.8775,5.17,510.4798889160156,502.60687536621094,521.5347442626953,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,16.000000000000014,0.01547388781431336,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=1.5%,PAPER-42FD8A6A,,,,,1,2026-07-07T15:13:26.715541+00:00,2026-07-07T15:14:56.609667+00:00,,0
AMD,c795587a-8c36-429e-8644-3588ab2c47ca,AMD,SweepReversal,Sweep Reversal Long (low sweep → call),B,0.58,long,call,0,550.0,,,,2026-07-10,2,3.9,3.925,3.925,,,780.0,780.0,2.925,5.85,7.8,508.0350036621094,502.60687536621094,515.4225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,4.999999999999982,0.0064102564102563875,SWEEP_REVERSAL,16.34000015258789,0,closed,theta_bleed pnl=0.6%,PAPER-F57A1E2D,,,,,1,2026-07-07T15:22:11.663289+00:00,2026-07-07T15:26:11.643599+00:00,,0
